STATION,DATE,TMAX,TMIN
GHCND:USC00327027,20100101,-178,-311
GHCND:USC00327027,20100102,-244,-322
GHCND:USC00327027,20100103,-194,-289
GHCND:USC00327027,20100104,-167,-200
GHCND:USC00327027,20100105,-133,-167
GHCND:USC00327027,20100106,-133,-172
GHCND:USC00327027,20100107,-150,-278
GHCND:USC00327027,20100108,-233,-328
GHCND:USC00327027,20100109,-233,-322
GHCND:USC00327027,20100110,-117,-244
GHCND:USC00327027,20100111,-67,-128
GHCND:USC00327027,20100112,-78,-122
GHCND:USC00327027,20100113,-17,-89
GHCND:USC00327027,20100114,39,-72
GHCND:USC00327027,20100115,-67,-72
GHCND:USC00327027,20100116,22,-50
GHCND:USC00327027,20100117,33,-44
GHCND:USC00327027,20100118,6,-172
GHCND:USC00327027,20100119,-56,-183
GHCND:USC00327027,20100120,-67,-139
GHCND:USC00327027,20100121,-67,-94
GHCND:USC00327027,20100122,-44,-67
GHCND:USC00327027,20100123,-6,-44
GHCND:USC00327027,20100124,0,-11
GHCND:USC00327027,20100125,-11,-161
GHCND:USC00327027,20100126,-161,-233
GHCND:USC00327027,20100127,-167,-222
GHCND:USC00327027,20100128,-167,-283
GHCND:USC00327027,20100129,-189,-283
GHCND:USC00327027,20100130,-156,-267
GHCND:USC00327027,20100131,-150,-272
